Continent,Country,City,Arrivals_2019,Arrivals_2022,Arrivals_2023,ISO
Asia,Japan,Japan_City14,88.8,73.6,100.7,JAP
Asia,China,China_City13,70.6,67.1,63.3,CHI
Asia,Thailand,Thailand_City17,7.6,7.3,8.8,THA
Asia,Singapore,Singapore_City11,80.7,87.1,78.7,SIN
Africa,Kenya,Kenya_City16,58.0,37.6,62.2,KEN
Africa,Morocco,Morocco_City2,20.0,21.9,15.0,MOR
Africa,Egypt,Egypt_City5,42.9,27.1,40.9,EGY
Africa,Nigeria,Nigeria_City19,74.1,72.0,65.5,NIG
Africa,South Africa,South Africa_City9,38.8,30.2,27.5,SOU
Americas,USA,USA_City2,55.9,52.6,59.6,USA
Americas,Canada,Canada_City15,13.7,8.6,10.3,CAN
Americas,Brazil,Brazil_City7,63.4,39.1,45.0,BRA
Americas,Mexico,Mexico_City7,66.7,58.2,48.0,MEX
Americas,Argentina,Argentina_City14,78.3,61.7,77.9,ARG
Oceania,Australia,Australia_City9,97.6,106.9,92.3,AUS
Oceania,New Zealand,New Zealand_City17,84.0,84.3,91.1,NEW
Oceania,Fiji,Fiji_City6,11.2,11.1,9.8,FIJ
Oceania,PNG,PNG_City15,69.9,55.2,75.5,PNG
Oceania,Samoa,Samoa_City11,86.1,73.1,82.4,SAM
Middle East,Saudi Arabia,Saudi Arabia_City4,72.1,58.2,66.1,SAU
Middle East,UAE,UAE_City18,39.5,31.6,45.2,UAE
Middle East,Qatar,Qatar_City9,38.1,38.4,49.2,QAT
Middle East,Oman,Oman_City19,71.2,74.7,55.0,OMA
Middle East,Kuwait,Kuwait_City15,28.7,18.7,36.5,KUW
Europe,France,France_City13,39.0,30.9,48.8,FRA
Europe,Spain,Spain_City15,17.6,13.9,15.7,SPA
Europe,Italy,Italy_City13,27.6,18.9,26.8,ITA
Europe,Germany,Germany_City17,89.2,69.2,102.0,GER
Europe,UK,UK_City19,94.5,86.7,115.3,UK
Asia,India,India_City4,76.3,72.5,97.7,IND
Asia,Japan,Japan_City17,72.3,69.0,77.1,JAP
Asia,China,China_City17,19.5,15.8,15.2,CHI
Asia,Thailand,Thailand_City10,14.5,15.7,10.8,THA
Asia,Singapore,Singapore_City10,57.0,42.0,60.2,SIN
Africa,Kenya,Kenya_City1,25.5,22.7,32.8,KEN
Africa,Morocco,Morocco_City19,97.2,59.6,119.8,MOR
Africa,Egypt,Egypt_City8,31.4,32.9,22.5,EGY
Africa,Nigeria,Nigeria_City13,36.7,39.0,44.7,NIG
Africa,South Africa,South Africa_City7,90.6,69.3,111.8,SOU
Americas,USA,USA_City19,38.1,37.0,42.2,USA
Americas,Canada,Canada_City5,94.7,99.1,104.8,CAN
Americas,Brazil,Brazil_City2,57.1,42.0,45.0,BRA
Americas,Mexico,Mexico_City7,7.9,7.5,5.6,MEX
Americas,Argentina,Argentina_City19,58.0,45.3,58.1,ARG
Oceania,Australia,Australia_City9,45.4,47.8,32.0,AUS
Oceania,New Zealand,New Zealand_City16,24.9,16.4,26.1,NEW
Oceania,Fiji,Fiji_City19,56.2,54.1,52.5,FIJ
Oceania,PNG,PNG_City7,48.2,52.3,57.9,PNG
Oceania,Samoa,Samoa_City16,6.6,6.3,7.8,SAM
Middle East,Saudi Arabia,Saudi Arabia_City1,66.6,40.9,83.4,SAU
Middle East,UAE,UAE_City1,99.2,78.5,117.5,UAE
Middle East,Qatar,Qatar_City5,26.6,21.4,28.6,QAT
Middle East,Oman,Oman_City18,63.8,42.5,82.2,OMA
Middle East,Kuwait,Kuwait_City1,52.8,56.0,54.1,KUW
Europe,France,France_City4,69.7,51.8,50.6,FRA
Europe,Spain,Spain_City17,42.0,45.2,37.0,SPA
Europe,Italy,Italy_City16,60.1,54.0,50.7,ITA
Europe,Germany,Germany_City8,20.2,18.8,19.5,GER
Europe,UK,UK_City3,71.2,51.5,51.5,UK
Asia,India,India_City19,54.2,45.4,43.9,IND
Asia,Japan,Japan_City3,90.3,84.5,91.9,JAP
Asia,China,China_City17,35.5,21.4,37.6,CHI
Asia,Thailand,Thailand_City12,40.9,44.6,32.9,THA
Asia,Singapore,Singapore_City2,32.8,23.0,41.2,SIN
Africa,Kenya,Kenya_City9,50.4,37.4,42.5,KEN
Africa,Morocco,Morocco_City11,46.1,49.1,48.6,MOR
Africa,Egypt,Egypt_City10,17.7,11.5,16.0,EGY
Africa,Nigeria,Nigeria_City11,83.1,66.6,60.0,NIG
Africa,South Africa,South Africa_City17,73.5,67.5,87.3,SOU
Americas,USA,USA_City9,58.6,63.2,45.0,USA
Americas,Canada,Canada_City7,19.0,12.0,16.1,CAN
Americas,Brazil,Brazil_City17,29.8,30.9,24.1,BRA
Americas,Mexico,Mexico_City16,16.1,10.5,17.0,MEX
Americas,Argentina,Argentina_City17,10.0,9.0,12.4,ARG
Oceania,Australia,Australia_City3,77.7,54.0,96.3,AUS
Oceania,New Zealand,New Zealand_City2,14.2,12.1,14.9,NEW
Oceania,Fiji,Fiji_City4,14.2,15.5,17.6,FIJ
Oceania,PNG,PNG_City5,50.0,42.0,50.3,PNG
Oceania,Samoa,Samoa_City14,45.3,46.6,34.9,SAM
Middle East,Saudi Arabia,Saudi Arabia_City16,48.5,34.8,35.7,SAU
Middle East,UAE,UAE_City18,37.7,36.1,40.8,UAE
Middle East,Qatar,Qatar_City5,7.1,5.6,7.8,QAT
Middle East,Oman,Oman_City17,91.8,85.9,82.1,OMA
Middle East,Kuwait,Kuwait_City7,15.5,12.4,14.6,KUW
Europe,France,France_City4,58.3,46.6,59.4,FRA
Europe,Spain,Spain_City8,68.2,41.9,84.1,SPA
Europe,Italy,Italy_City8,87.4,53.7,89.2,ITA
Europe,Germany,Germany_City18,96.0,95.8,124.3,GER
Europe,UK,UK_City5,78.2,75.1,84.5,UK
Asia,India,India_City12,12.7,8.2,10.6,IND
Europe,EUROPE TOTAL,NA,800.0,700.0,820.0,EUR
Asia,ASIA TOTAL,NA,600.0,500.0,620.0,ASI
Africa,AFRICA TOTAL,NA,300.0,280.0,310.0,AFR
Americas,AMERICAS TOTAL,NA,900.0,800.0,950.0,AME
